Acav,S,mu
(-0.0045983747666885864-0.0006146341852743882j),-52.5062118579762,-73.0
(-0.0015166621201606445-0.0013269230990690846j),-57.48378883947329,-72.0
(0.0008513111698631617+3.445045541103562e-05j),-71.63052460300898,-71.0
(-1.0363288659606703e-05+0.0016796123971279547j),-68.5506713692645,-70.0
(-0.003060340304076805+0.0013662227555635313j),-56.538200843360215,-69.0
(-0.004980194683811526-0.0006807103393729263j),-52.138843389940426,-68.0
(-0.0038292996345289194-0.002000510777007947j),-51.16177828026876,-67.0
(-0.0010550831691316378-0.0008230042463239973j),-53.155777175275105,-66.0
(0.00021215135828943796+0.0016933327625296638j),-59.51464668794946,-65.0
(-0.0012198655285324642+0.0026333022539860576j),-84.14597253238152,-64.0
(-0.0034472247382673253+0.0007391167629876423j),-62.25127635560053,-63.0
(-0.003943125832271832-0.0020542309978237865j),-53.331474409862416,-62.0
(-0.002403325598188957-0.002632033229600361j),-49.88942617490411,-61.0
(-0.0008887859516933736-0.0002030395530223244j),-49.573577965181734,-60.0
(-0.001231606789058623+0.0026177616433075237j),-52.41001207418186,-59.0
(-0.0028530085675572106+0.002771752082564334j),-60.934506448523756,-58.0
(-0.0036013095378040596+0.00014432912706340145j),-80.58085249641856,-57.0
(-0.002438601213630201-0.002426028024481108j),-55.96979100231548,-56.0
(-0.000822339847736928-0.0022216374893218277j),-49.09063958499877,-55.0
(-0.000933362051665293+0.0004014975554680607j),-46.50665043550365,-54.0
(-0.0028510366363061613+0.002534140833499494j),-46.89857662492855,-53.0
(-0.004348734386696697+0.002026879229386558j),-50.792421301609544,-52.0
(-0.0034844231938967025-0.0003333180044681621j),-62.911479908899125,-51.0
(-0.0010207893054739558-0.0018501233237438676j),-64.16393886518671,-50.0
(0.0002540431798746914-0.0009832004759959766j),-49.52918803874931,-49.0
(-0.0012146252947030198+0.0009908706375533734j),-44.10803037525633,-48.0
(-0.0039456129914325+0.0017156372415323474j),-42.30373281064221,-47.0
(-0.005002174123809409+0.0005575644842518564j),-43.45438847211028,-46.0
(-0.003137958488845252-0.0008276103511386194j),-48.68671910004623,-45.0
(-0.0003095501007681571-0.0006676878831780194j),-68.32343967074124,-44.0
(0.00045375359421063213+0.0007287016803561302j),-53.39308530167175,-43.0
(-0.00159009992046204+0.0014678938083718084j),-42.86595181538914,-42.0
(-0.004209085170572892+0.0004744948676123749j),-38.56056735024043,-41.0
(-0.0046407056359574995-0.0010913618781983505j),-37.487261848807606,-40.0
(-0.0025699387867277376-0.0011688071919776417j),-39.46903186629245,-39.0
(-0.00035769676758902187+0.0005739410544140105j),-46.46541885845837,-38.0
(-0.000281434716485429+0.002187016202273138j),-85.0,-37.0
(-0.0021653784495211576+0.0016704722990156838j),-44.1492833892671,-36.0
(-0.003771815488378466-0.0006226958151966306j),-35.99475459663144,-35.0
(-0.0033940879148130223-0.002194960886095819j),-32.60974455417773,-34.0
(-0.001771860290217202-0.001233589875094679j),-32.24408247879744,-33.0
(-0.0009625713966664643+0.001330133740835688j),-35.15519679883701,-32.0
(-0.0017762641811499562+0.002808368650532867j),-44.65987079987173,-31.0
