Acav,S,mu
(-0.0013744210664995004-0.0002128478090797968j),-85.0,-141.0
(-0.002023973172016133-0.00038664419929693926j),-85.0,-140.0
(-0.0031362677464736297-0.00015969644706233268j),-85.0,-139.0
(-0.0034572078379081113+0.0004835513703973954j),-85.0,-138.0
(-0.0025205604057839514+0.0009128676220212562j),-85.0,-137.0
(-0.0013838445563581435+0.0007002571646814887j),-85.0,-136.0
(-0.001201046295891255+0.00020127467192941796j),-76.2207475213626,-135.0
(-0.0019207729970322413-0.00014704753668767152j),-77.15550689607193,-134.0
(-0.0026859313651369653-0.0003494347621853443j),-85.0,-133.0
(-0.0030301296452373244-0.0003478580919948602j),-85.0,-132.0
(-0.002910338319961335+0.0002005600285134856j),-85.0,-131.0
(-0.0022902394308037454+0.0010704324166026199j),-85.0,-130.0
(-0.0015368360153938177+0.0012432573949191711j),-85.0,-129.0
(-0.001425372861796025+0.0002901911015750888j),-85.0,-128.0
(-0.0020897661578800682-0.0007690998810506636j),-85.0,-127.0
(-0.0027532729551650267-0.0008118793476142633j),-85.0,-126.0
(-0.002801661875475994+1.0250797389320876e-05j),-85.0,-125.0
(-0.002564010154581534+0.0008303949452623582j),-85.0,-124.0
(-0.0023941673320625077+0.0011473385837263755j),-85.0,-123.0
(-0.00203160051259052+0.0008407199216414215j),-85.0,-122.0
(-0.0015235712878230892-2.3388846200370737e-05j),-85.0,-121.0
(-0.0015758587332332158-0.0008334923109721097j),-85.0,-120.0
(-0.002429127363318155-0.00069726282684041j),-85.0,-119.0
(-0.0032302973389208896+0.0003491134099534432j),-85.0,-118.0
(-0.0030783862272649926+0.0011439370886648943j),-85.0,-117.0
(-0.002229495242903914+0.000924589431680844j),-85.0,-116.0
(-0.001530967577946499+0.00022547382368745926j),-85.0,-115.0
(-0.0013696708577511482-0.0001621194675435236j),-85.0,-114.0
(-0.0017849118290751463-0.00024942203112743685j),-85.0,-113.0
(-0.002674039946728896-0.00029228392243833j),-85.0,-112.0
(-0.003415661003781091-2.195659158756442e-05j),-85.0,-111.0
(-0.003132981169496094+0.0006509924270941882j),-85.0,-110.0
(-0.0018887434128250363+0.0010543155796089885j),-85.0,-109.0
(-0.0010147212609355712+0.000656936866175788j),-83.99801998924184,-108.0
(-0.0014351530120429012-0.00012084916686447182j),-82.22253607745499,-107.0
(-0.002494890432942065-0.000540038429974479j),-82.9977845649865,-106.0
(-0.0030593714808831367-0.0004349546410478968j),-85.0,-105.0
(-0.002914696570628157+1.4395071913086216e-05j),-85.0,-104.0
(-0.0024845613715160217+0.0007235011868144685j),-85.0,-103.0
(-0.0019855172407957475+0.0012732349824632738j),-78.44965936379285,-102.0
(-0.0015248076078743364+0.0008970350873946543j),-72.89903482697798,-101.0
(-0.0015751499768002512-0.0003276821662513058j),-70.21271702200137,-100.0
(-0.00226984576330012-0.001112974296755472j),-70.01544222536327,-99.0
(-0.002901243203700313-0.0005420780293001809j),-73.2042829067185,-98.0
(-0.0029017773442985098+0.0006879936001455043j),-85.0,-97.0
(-0.002497560713787004+0.0013036119305433165j),-79.24752255691132,-96.0
(-0.002085923872321491+0.0009874879772270473j),-64.94315463800888,-95.0
(-0.001693530679249442+0.0002559259220853842j),-57.6943429663255,-94.0
(-0.0014368823933091101-0.00041987546652031945j),-53.334432898430435,-93.0
(-0.0018633607363254007-0.0006721227531755983j),-51.10059103531086,-92.0
(-0.0029063771039386918-0.0001640522088924468j),-51.39569271710451,-91.0
(-0.003449638504173353+0.0008112150018461821j),-57.90329403668542,-90.0
(-0.002769491355751159+0.0013043313925065485j),-52.94132782847551,-89.0
(-0.0015795414661464327+0.0008631796524531184j),-26.40160371504468,-88.0
(-0.0010726307334173366+0.00015832622541485275j),-22.860875531541176,-87.0
(-0.0015425200700505085-9.248294528274985e-05j),-31.094745153243274,-86.0
(-0.00239352872974267-6.136674713581654e-06j),-37.72733453753803,-85.0
(-0.0030871703187240777+0.00015836505639285907j),-44.99901873044326,-84.0
(-0.0031793183171213908+0.000640291107166385j),-57.114772302208515,-83.0
(-0.0023771348611276136+0.0014286724129451062j),-74.6730698912648,-82.0
(-0.0012127326363476636+0.0017647029104365583j),-54.606247771604146,-81.0
(-0.0008367050848079791+0.001158724951764942j),-49.37334776118597,-80.0
(-0.001638780539330044+0.00033222496512384743j),-47.88677868830633,-79.0
(-0.002626340054779039+0.00032444901576587286j),-48.89188390570877,-78.0
(-0.0027040038127557234+0.0011937133155315786j),-52.60943112470327,-77.0
(-0.002075788845288507+0.0022986630462849796j),-61.310912649337666,-76.0
(-0.0014599496416610415+0.0031948784106976755j),-85.0,-75.0
(-0.0009287865346545919+0.0035922106101221054j),-59.79168557005422,-74.0
(-0.0004187816229873789+0.0032836776136067505j),-52.72000712004131,-73.0
(-0.00027962827305611795+0.0028179169279640135j),-50.02183085682405,-72.0
(-0.0006410191020868829+0.0034236522381479494j),-50.01050320107809,-71.0
(-0.000816825623413482+0.005499897537758151j),-52.69838771568847,-70.0
(-3.804624930106468e-05+0.007900512217897972j),-59.81635555361008,-69.0
(0.0014521863824555608+0.00937747412493222j),-85.0,-68.0
(0.0029647697143611843+0.010167946791686939j),-61.13138962464994,-67.0
(0.004311962876448299+0.011323513907198294j),-52.63435827651723,-66.0
(0.005464583993988339+0.013317286156670887j),-49.15472067531678,-65.0
(0.006297469362146825+0.01608697697297575j),-48.48986422563317,-64.0
(0.007183634429494422+0.019602262201359414j),-50.46506626816625,-63.0
(0.009004603907402608+0.023504287546714492j),-56.48788404224949,-62.0
(0.011874965210504978+0.026779303603605063j),-77.99968020018413,-61.0
(0.014220761729929221+0.028483780845960663j),-60.99452061019299,-60.0
(0.014278610024767744+0.028391035496743645j),-50.97801864493432,-59.0
(0.012056270671331902+0.026446262423730733j),-46.8050980264775,-58.0
(0.009082247638860078+0.02251385071456508j),-45.595464605217835,-57.0
(0.006885280948869607+0.01753316390108053j),-46.99531554586798,-56.0
(0.006025106066537741+0.013672447786150054j),-52.025023764065104,-55.0
(0.005986371894841979+0.012140809289014747j),-68.0727277699353,-54.0
(0.005646257551404047+0.011634605376751829j),-60.13807354878879,-53.0
(0.0042177131396943955+0.00998182344427013j),-48.30205245133625,-52.0
(0.002304175922989545+0.006852773170459379j),-43.440282898270226,-51.0
(0.001348079774374443+0.003919259891390962j),-41.72204140945341,-50.0
(0.0015979821066452937+0.00272881550859137j),-42.595281948499924,-49.0
(0.0016205270108849601+0.003217739276669798j),-46.82313333674626,-48.0
(0.0004371506645089542+0.004037244494827827j),-59.56526863822893,-47.0
(-0.0009475973947896437+0.0037341741633448037j),-59.09234513290892,-46.0
(-0.0010192619896707276+0.001978374271147656j),-44.897107551717596,-45.0
(-4.65754659855647e-05+7.625524560831298e-05j),-39.31809153584749,-44.0
(0.00033088620748200994-0.00022661089502490903j),-37.10914059029272,-43.0
(-0.0006612307503339164+0.001059670659636361j),-37.49596804988083,-42.0
(-0.0021853836637948255+0.00201329393321986j),-41.0235285811701,-41.0
(-0.0029006756312028527+0.0013554134865786881j),-51.46307965977528,-40.0
(-0.0021911358299038027+5.7868399134077666e-05j),-58.4881514124825,-39.0
(-0.000740062343110384-0.0002520834679536193j),-40.938247972729656,-38.0
(-6.998880024910011e-05+0.00044810092365208954j),-34.59462894181445,-37.0
(-0.0011898878573380896+0.0008497189150781331j),-31.904324826833356,-36.0
(-0.003191344368316718+0.00038406317863552865j),-31.836198252158276,-35.0
